id,first term gpa,first term standing,second term gpa,second term standing,third term gpa,third term standing,graduated
6417,2.742857143,G,3.009375,P,2.729787234,P,1
6449,2.153846154,G,2.56,G,2.615384615,G,1
6454,1.686567164,G,,G,,G,1
6456,1.655172414,G,,G,,G,1
6480,2.899,G,,G,,G,1
6681,1.208,G,1.54,G,,G,1
6702,1.47,G,,G,,G,1
6758,2.005084746,P,,G,,G,1
6764,3.182352941,G,3.451515152,G,3.47,G,1
6781,1,G,,G,,G,1
6846,2.602150538,G,2.664485981,G,,G,1
6893,1.225925926,G,,G,,G,1
6972,1.444827586,D,1.341860465,D,,D,0
7056,1.909090909,G,1.35483871,G,,G,1
7127,1.754054054,G,,P,,G,1
7141,2.7625,G,2.371875,G,2.176595745,G,1
7184,2.8,G,,G,,G,1
7200,1.747169811,G,,G,,G,1
7289,0.3,G,0.29,G,,G,1
7341,1.15,G,1.264705882,G,1.731182796,G,1
7357,3.3,D,3.403030303,D,3.472340426,D,0
7370,1.405405405,G,,G,,G,1
7389,2.066666667,G,1.777777778,G,1.8,G,1
7411,1.955932203,G,,G,,G,1
7449,1.861111111,P,,G,,G,1
7585,3.066666667,G,2.870967742,G,2.636363636,G,1
7651,3.413333333,G,3.193548387,G,3.282978723,G,1
7682,0.31875,G,,G,,G,1
7721,2.726666667,G,2.75625,G,2.742222222,P,1
7738,0.428571429,G,,G,,G,1
7744,0.25,G,,G,,G,1
7803,1.5,G,,G,,G,1
7820,0.466666667,G,,G,,G,1
7849,2.666666667,G,,G,,G,1
7863,1.25,G,1.326086957,G,,G,1
7927,0,G,,G,,G,1
7948,2.133333333,G,2.366666667,G,2.084444444,G,1
7958,3.214285714,G,3.222222222,G,3.164285714,G,1
7963,1.084615385,G,,G,,G,1
7970,2.00625,G,2.528571429,G,2.05,G,1
8014,2.1875,G,2.032258065,G,1.965116279,D,1
8072,1.04,G,,G,,G,1
8086,2.1875,G,2.196774194,G,2.36875,G,1
8134,1.756756757,G,,G,,G,1
8139,1.798387097,G,,G,,G,1
8226,1.818604651,G,1.396428571,G,,G,1
8227,1.836697248,G,1.811570248,G,,G,1
8259,2.846875,G,,G,,G,1
8334,2.133333333,P,2.392857143,G,2.119047619,G,1
8345,2.098305085,G,2.051744186,G,,G,1
8359,3.535294118,G,3.628125,G,3.4859375,G,1
8420,2.253846154,G,2.903846154,G,3.2175,G,1
8444,1.87654321,G,1.76344086,G,,G,1
8478,1.861538462,G,,G,,G,1
8519,0.6,D,1.324324324,D,1.391304348,D,0
8540,1.553333333,G,1.648192771,G,,G,1
8542,2.003603604,D,,D,,D,0
8558,1.003846154,G,,G,,G,1
8560,0,G,,G,,G,1
8655,0,G,,G,,G,1
8697,1.588721805,G,,G,,G,1
8753,0.31875,G,,G,,G,1
8795,1.725,G,,G,,G,1
8804,1.798333333,G,1.665277778,G,,G,1
8837,1.671428571,G,,G,,G,1
