,fall,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring
,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,2.62,2.386206897,2.386206897,2.473913043,2.473913043,2.288135593,2.288135593,2.197183099,2.197183099,2.025,2.025,2.025,2.025,1.853932584,1.853932584,1.853932584,1.853932584,1.853932584,1.853932584,1.853932584,1.853932584,1.853932584
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.914285714,2.914285714,2.803448276,2.803448276,2.580952381,2.580952381,2.382142857,2.382142857,2.694594595,2.694594595,2.80326087,2.80326087,2.858878505,2.858878505,2.932786885,2.932786885,2.955474453,2.955474453,2.951006711,2.951006711,2.951006711,2.951006711,2.951006711,2.951006711,2.951006711,2.951006711,2.951006711,2.951006711,2.951006711,2.951006711,2.951006711
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.435714286,2.435714286,2.872413793,2.872413793,2.738636364,2.738636364,2.63220339,2.63220339,2.628378378,2.628378378,2.716091954,2.716091954,2.740196078,2.740196078,2.762931034,2.762931034,2.762931034,2.762931034,2.762931034,2.762931034,2.762931034,2.762931034,2.762931034,2.762931034,2.762931034,2.762931034,2.762931034
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7125,2.7125,2.483870968,2.483870968,2.613043478,2.613043478,2.72,2.72,2.601298701,2.601298701,2.627368421,2.627368421,2.654954955,2.654954955,2.733333333,2.733333333,2.791724138,2.791724138,2.791724138,2.791724138,2.791724138,2.791724138,2.791724138,2.791724138,2.791724138,2.791724138,2.791724138
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807692308,2.807692308,2.128,2.128,1.981081081,1.981081081,1.984782609,1.984782609,1.547457627,1.547457627,1.547457627,1.547457627,1.547457627,1.547457627,1.547457627,1.547457627,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606,1.611267606
68,0,0,0,2.533333333,2.533333333,2.387096774,2.387096774,2.568181818,2.568181818,2.421052632,2.421052632,2.260869565,2.260869565,2.13253012,2.13253012,2.201052632,2.201052632,2.232407407,2.232407407,2.341803279,2.341803279,2.341803279,2.341803279,2.378518519,2.378518519,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.396598639,2.382208589
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.4,3.118518519,3.118518519,3.2675,3.2675,3.191071429,3.191071429,3.23943662,3.23943662,3.047674419,3.047674419,2.930693069,2.930693069,2.872413793,2.872413793,2.824031008,2.824031008,2.81294964,2.81294964,2.81294964,2.81294964,2.81294964,2.81294964,2.81294964,2.81294964,2.81294964,2.81294964,2.81294964,2.81294964,2.81294964
153,0,0,0,3.8125,3.8125,3.612903226,3.612903226,3.5,3.5,3.467741935,3.467741935,3.386666667,3.386666667,3.288888889,3.288888889,3.297142857,3.297142857,3.325423729,3.325423729,3.332061069,3.332061069,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429,3.338571429
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.764705882,3.764705882,3.764705882,3.764705882,3.711764706,3.711764706,3.767164179,3.767164179,3.812048193,3.812048193,3.823,3.823,3.824137931,3.824137931,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465,3.841860465
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.933333333,1.933333333,2.259259259,2.548484848,2.529787234,2.529787234,2.619672131,2.619672131,2.586842105,2.586842105,2.579120879,2.60212766,2.623853211,2.623853211,2.623853211,2.623853211,2.623853211,2.623853211,2.623853211,2.623853211,2.623853211,2.623853211,2.623853211
