class_1,class_2,pval,rho,n
Introduction to Engineering Projects,Introduction to Ethnic Studies,0.0000022,0.837370443,22
Artificial Intelligence,Linear Algebra,7.96E-08,0.75925675,37
College Writing II,Psychology of Women,0.000000408,0.753860962,34
Differential Equations I,Linear Algebra,2.44E-11,0.751772647,57
Artificial Intelligence,Intermediate Software Engineering,2.45E-09,0.741708991,48
Fitness Assessment and Management,Introduction to Mass Media,0.000000519,0.719615631,38
Introduction to College Life,Music Appreciation,0.000000323,0.714588343,40
Differential Equations I,Statistical Methods with Applications,8.17E-16,0.712392606,95
Artificial Intelligence,Calculus and Analytic Geometry III,0.000000247,0.706350935,42
Linear Algebra,Statistical Methods with Applications,1.80E-17,0.699822356,111
Introduction to College Life,World Civilization II,0.000000128,0.699417593,45
Artificial Intelligence,Principles of Microeconomics,0.000000626,0.689248342,42
Artificial Intelligence,Programming Language Structures,8.42E-10,0.684705423,63
Artificial Intelligence,Statistical Methods with Applications,0.000000828,0.683864545,42
Artificial Intelligence,Object-Oriented Programming and Data Structures II,5.88E-11,0.68188892,72
Differential Equations I,Object-Oriented Programming and Data Structures II,2.31E-12,0.661413089,89
Fitness Assessment and Management,Introduction to American Government,3.96E-09,0.648367563,67
Circuit Modeling I,Object-Oriented Programming and Data Structures I,8.73E-20,0.647466881,156
Calculus and Analytic Geometry II,Precalculus,0.00000156,0.647078349,46
Artificial Intelligence,Object-Oriented Programming and Data Structures I,6.20E-09,0.646014551,66
Calculus and Analytic Geometry II,Differential Equations I,1.51E-10,0.644159007,80
Introduction to Marketing,Object Oriented Analysis and Design,0.00000193,0.631580198,48
Linear Algebra,Object-Oriented Programming and Data Structures II,1.49E-14,0.624656231,123
Discrete Mathematics,Object-Oriented Programming and Data Structures II,1.51E-32,0.621133301,293
Intermediate Software Engineering,Object Oriented Analysis and Design,8.31E-23,0.619604432,203
Discrete Mathematics,General Physics II,4.52E-17,0.616492448,151
Object-Oriented Programming and Data Structures II,Programming Language Structures,6.32E-29,0.615584841,265
Calculus and Analytic Geometry III,Differential Equations I,1.69E-11,0.614504159,99
Data Communications and Computer Networks,Linear Algebra,9.71E-14,0.611164766,122
Concepts of Biology,General Psychology,0.000000359,0.610580135,59
Computer Architecture/Operating Systems,Intermediate Software Engineering,8.16E-22,0.60810325,203
Calculus and Analytic Geometry II,Object-Oriented Programming and Data Structures II,2.45E-19,0.607516715,179
Database Design and Implementation,Object Oriented Analysis and Design,1.14E-26,0.607094768,252
Artificial Intelligence,Discrete Mathematics,3.22E-08,0.606988459,70
Object Oriented Analysis and Design,Statistical Methods with Applications,1.24E-17,0.603273769,165
Linear Algebra,Software Quality,2.75E-11,0.602058323,102
Introduction to Marketing,Principles of Macroeconomics,4.77E-14,0.601500847,130
Intermediate Software Engineering,Statistical Methods with Applications,2.26E-16,0.600657582,154
Real-Time Embedded Systems Programming,Software Engineering Project I,5.62E-15,0.600400189,140
Data Communications and Computer Networks,Object-Oriented Programming and Data Structures II,1.11E-31,0.599867331,311
Computer Architecture/Operating Systems,Object-Oriented Programming and Data Structures II,2.47E-30,0.598401731,299
Calculus and Analytic Geometry III,Discrete Mathematics,9.28E-19,0.596924605,181
Object Oriented Analysis and Design,Software Quality,1.04E-19,0.596708829,191
Data Communications and Computer Networks,Object Oriented Analysis and Design,8.41E-29,0.596044443,286
Introduction to Software Engineering,Object-Oriented Programming and Data Structures I,2.89E-33,0.595681908,333
College Algebra,Trigonometry and Analytic Geometry,1.14E-08,0.595145134,78
Real-Time Embedded Systems Programming,Statistical Methods with Applications,1.82E-14,0.594720839,138
Database Design and Implementation,Linear Algebra,1.35E-10,0.589632621,100
Discrete Mathematics,Object-Oriented Programming and Data Structures I,3.79E-30,0.588200116,310
Discrete Mathematics,Linear Algebra,1.11E-12,0.58768996,123
Circuit Modeling I,Object-Oriented Programming and Data Structures II,9.51E-15,0.586161582,146
Introduction to Software Engineering,Object-Oriented Programming and Data Structures II,5.66E-30,0.582947931,315
Circuit Modeling I,Object Oriented Analysis and Design,2.46E-14,0.582022944,144
Object-Oriented Programming and Data Structures I,Object-Oriented Programming and Data Structures II,1.75E-29,0.578097902,316
Calculus and Analytic Geometry III,Object-Oriented Programming and Data Structures II,1.00E-16,0.576771998,174
Discrete Mathematics,Statistical Methods with Applications,7.95E-16,0.575174411,165
Intermediate Software Engineering,Programming Language Structures,1.17E-17,0.570985006,189
Data Communications and Computer Networks,"Web Protocols, Technologies and Applications",1.03E-08,0.569789403,87
Calculus and Analytic Geometry III,Object-Oriented Programming and Data Structures I,1.31E-17,0.569033649,190
Artificial Intelligence,Object Oriented Analysis and Design,0.000000236,0.568218859,72
Artificial Intelligence,Computer Architecture/Operating Systems,0.000000248,0.567356268,72
Object Oriented Analysis and Design,Software Engineering Project I,2.27E-13,0.567135354,142
Artificial Intelligence,Data Communications and Computer Networks,0.000000326,0.56610615,71
General Physics II,Principles of Microeconomics,0.000000105,0.565124883,77
Discrete Mathematics,Software Engineering Project I,5.30E-13,0.563220577,140
Calculus and Analytic Geometry III,Principles of Microeconomics,1.97E-09,0.562790092,98
General Psychology,Principles of Macroeconomics,2.66E-12,0.562687428,132
General Physics II,Statistical Methods with Applications,9.28E-14,0.560019935,151
Intermediate Software Engineering,Principles of Macroeconomics,3.68E-10,0.559689711,108
Differential Equations I,Discrete Mathematics,5.61E-09,0.559358852,94
Calculus and Analytic Geometry III,Linear Algebra,1.23E-10,0.559093077,114
Differential Equations I,Object Oriented Analysis and Design,1.28E-08,0.558647662,90
Leadership and Management,Precalculus,2.47E-10,0.55770233,111
Principles of Macroeconomics,"Science, Technology, and Ethics",2.65E-08,0.556483919,87
Computer Architecture/Operating Systems,Discrete Mathematics,4.62E-24,0.555404978,281
Object Oriented Analysis and Design,Object-Oriented Programming and Data Structures II,2.05E-24,0.55489026,286
Elementary Statistics,Programming in COBOL,0.00000114,0.554237974,68
Calculus and Analytic Geometry III,Intermediate Software Engineering,4.49E-13,0.553132543,147
General Physics I,Object-Oriented Programming and Data Structures II,1.11E-14,0.553026939,167
Introduction to Microprocessors,Object Oriented Analysis and Design,1.17E-09,0.550529163,106
Computer Architecture/Operating Systems,Data Communications and Computer Networks,1.26E-25,0.550326298,307
Calculus and Analytic Geometry II,Introduction to Software Engineering,3.45E-16,0.550187613,188
Object-Oriented Programming and Data Structures I,Programming in C++,6.42E-33,0.549964746,400
Database Design and Implementation,Statistical Methods with Applications,1.25E-11,0.547996569,132
Introduction to College Life,Programming in C++,0.00000112,0.547609736,70
General Physics II,Real-Time Embedded Systems Programming,1.64E-11,0.54713159,131
Calculus and Analytic Geometry III,General Physics II,1.78E-13,0.547035505,156
Artificial Intelligence,Introduction to Software Engineering,0.000000885,0.545150508,72
Discrete Mathematics,Introduction to Software Engineering,1.10E-24,0.544997456,302
Introduction to Marketing,Programming in COBOL,5.62E-09,0.544651528,100
Intermediate Software Engineering,Software Quality,3.29E-14,0.543326504,168
Programming Language Structures,Statistical Methods with Applications,8.23E-13,0.543187013,150
Object-Oriented Programming and Data Structures II,Statistical Methods with Applications,6.73E-14,0.541875984,165
Circuit Modeling I,Programming in C++,8.46E-12,0.541369991,138
Computer Architecture/Operating Systems,Introduction to Software Engineering,8.66E-24,0.540619474,296
Intermediate Software Engineering,Object-Oriented Programming and Data Structures II,7.16E-17,0.540513133,205
Object Oriented Analysis and Design,Principles of Macroeconomics,2.27E-12,0.540492497,146
Data Communications and Computer Networks,Statistical Methods with Applications,9.72E-14,0.540349244,164
College Algebra,Leadership and Management,9.38E-10,0.540238019,112
Introduction to Microprocessors,Linear Algebra,0.00000147,0.5391354,71
