starting_column,unique_courses
1515,The Unity of Life
1517,The Vietnam War
1518,The West in American History
1519,The World Novel
1520,Theatre History I
1521,Theatre History II
1522,Thematic Studies in Literature
1525,Theories of Media and Culture
1526,Theory of Art
1527,Theory of Numbers
1528,Thermal Systems Laboratory
1529,Thermodynamics
1532,Thermo-Fluid Systems Design
1534,Thesis Research
1536,Third Semester Lessons
1538,Topical Seminar
1540,Topics in Art
1541,Topics in Biology
1542,Topics in French Literature and Culture
1543,Topics in Hispanic Literature and Culture
1545,Topics in Industrial Studies
1547,Topics in Media Studies
1551,Topics in Modern Mathematics
1552,Topics in Music
1553,Topics in Regional Geography
1554,Topics in Sociology
1555,Topics in Theatre
1558,Topics in Women & Gender Studies
1559,Traffic Engineering
1560,Training and Supervision
1561,Transportation Engineering
1562,Trigonometry and Analytic Geometry
1567,Twentieth and Twenty-First Century British Literature
1568,Twentieth Century America
1569,Twentieth Century Europe
1570,U S Courts and the Criminal Justice System
1571,Undergraduate Research
1574,Undergraduate Research in Engineering
1576,University Bands
1588,University/Community Orchestra
1598,Vibration Systems Design
1599,Visual Communication
1601,Vocal Pedagogy
1602,Voice and Diction
1603,Volleyball
1608,"Volunteers, Fundraising, and Grants"
1609,Wallyball/Volleyball
1610,Wastewater Treatment and Management
1611,Weather and Climate
1612,Web Development: Basics
1613,Web Development: Intermediate
1614,"Web Protocols, Technologies and Applications"
1617,Weight Training
1620,Wind and Solar Systems Design
1621,Windows Programming
1624,Wisconsin Indian Literature
1625,Women and Gender in Latin American History
1626,Women and Health
1627,"Women and Mythology: Goddess, Witch, Sibyl"
1628,Women and the Arts
1629,Women in European Civilization
1630,Women in Science and Engineering
1632,"Women, Gender, and Justice"
1633,Wood Structures
1634,Wood Technology
1635,Woodwind Ensemble
1639,Woody Landscape Plants
1640,Work Measurement and Design
1641,Work Measurement and Human Factors
1643,Workshop in Biology
1645,Worksite Wellness
1646,World Civilization I
1649,World Civilization II
1652,World Literature I
1653,World Literature II
1654,World Music Survey
1655,"World Population, Food and Resources"
1656,World Regional Geography
1658,World Rhythm Rudiments
1659,Writing for Electronic Media
1660,"Writing, Editing, and Publishing in Multiple Media"
1661,Writing/Editing Internship
1662,Yoga / Pilates
