count,student_id
0,10132
0,9535
0,4990
0,2425
0,2197
0,3656
0,1884
0,9538
0,5633
0,2561
0,4930
0,5447
0,5851
0,2754
0,7638
0,9878
0,2450
0,5365
0,702
0,6727
0,8263
0,375
0,1665
0,864
0,8222
0,2674
0,8058
0,5341
0,7763
0,8724
0,305
0,3044
0,3718
0,7097
0,6592
0,2552
0,4655
0,2541
0,8168
0,10518
0,138
0,8820
0,6131
0,5472
0,7553
0,2734
0,4657
0,8600
0,2432
0,2166
0,5267
0,1381
0,6325
0,8806
0,752
0,81
0,4182
0,5043
0,10237
0,1784
0,2614
0,1921
0,8008
0,1762
0,4479
0,6454
0,9843
0,7109
0,9813
0,8978
0,7936
0,8789
0,6633
0,6850
0,9270
0,4739
0,9426
0,2854
0,7469
0,1595
0,1603
0,8601
0,189
0,6235
0,6559
0,5332
0,8010
0,161
0,9611
0,4498
0,9838
0,7391
0,7647
0,2518
0,3482
0,3961
0,1970
0,10353
0,5553
0,5198
0,2142
0,10061
0,7234
0,338
0,7907
0,8049
0,9339
0,7673
0,3974
0,5405
0,2257
0,816
0,3124
0,1672
0,6237
0,6885
0,6021
0,7373
0,5822
0,9231
0,128
0,9204
0,5922
0,7849
0,1261
0,1573
0,8434
0,10152
0,9099
0,1445
0,7892
0,4310
0,4762
0,2172
0,7155
0,4554
0,10067
0,7677
0,10577
0,2941
0,5163
0,7449
0,358
0,8685
0,226
0,9698
0,6935
0,8318
0,2433
0,3823
0,1559
0,8822
0,6369
0,9964
0,5170
0,9509
0,556
0,3844
0,1489
0,3576
0,9990
0,4680
0,10320
0,4642
0,1213
0,10461
0,9802
0,1079
0,2991
0,592
0,9042
0,1690
0,7684
0,9993
0,8545
0,8851
0,2668
0,5070
0,697
0,6301
0,3472
0,5969
0,3138
0,7400
0,5978
0,1540
0,4717
0,542
0,5262
0,5904
0,160
0,1305
0,7318
0,891
0,6239
0,9443
0,5757
0,2234
0,10106
0,1836
0,4792
0,9756
0,3506
0,899
0,849
0,10184
0,5953
0,8454
0,1351
0,5025
0,179
0,2781
0,2782
0,7568
0,5947
0,4001
0,922
0,9540
0,938
0,1358
0,8339
0,4117
0,5780
0,2808
0,1500
0,846
0,3249
0,7288
0,6395
0,8136
0,6455
0,5106
0,1553
0,9470
0,6870
0,2746
0,4629
0,3293
0,8134
0,1596
0,9792
0,6477
0,4074
0,10209
0,7792
0,1653
0,10469
0,4727
0,8163
0,9839
0,10310
0,10373
0,5887
0,10419
0,1251
0,7803
0,5740
0,4886
0,5694
0,8884
0,10529
0,1196
0,6456
0,5411
0,2945
0,7626
0,589
0,4306
0,6118
0,7863
0,7586
0,6307
0,7437
0,675
0,9905
0,10047
0,1602
0,2680
0,2969
0,1579
0,7927
0,1533
0,8334
0,4624
0,6955
0,9438
0,4020
0,4104
0,3092
0,4135
0,1078
0,1313
0,9757
0,9955
0,9958
0,8631
0,5654
0,9277
0,1978
0,1740
0,8670
0,992
0,6036
0,1253
0,1087
0,4534
0,3421
0,8091
0,331
0,1015
0,9486
0,6714
0,1436
0,7370
0,5611
0,9330
0,5891
0,6730
0,8169
0,452
0,2405
0,7389
0,2046
0,6052
0,6185
0,1391
0,9710
0,7240
0,9379
0,9234
0,6051
0,2346
0,8305
0,812
0,2171
0,6788
0,6964
0,9361
0,3176
0,1114
0,9411
0,6449
0,3921
0,3461
0,9594
0,8633
0,298
0,1075
0,4712
0,7585
0,8322
0,7128
0,1891
0,1455
0,8333
0,101
0,3852
0,10420
0,3714
0,472
0,8444
0,3816
0,2326
0,1633
0,3760
0,8502
0,9263
0,6943
0,5676
0,9536
0,2622
0,2824
0,725
0,5621
0,1874
0,8706
0,3926
0,425
0,1503
0,4788
0,10448
0,656
0,3217
0,4840
0,8290
0,10472
0,8961
0,5810
0,8298
0,231
0,7142
0,6197
0,6382
0,10233
0,8857
0,284
0,4418
0,9789
0,3752
0,2568
0,6463
0,5677
0,5634
0,4278
0,9539
0,8045
0,9408
0,9268
0,537
0,5613
0,6811
0,68
0,4045
0,8585
0,9531
0,5287
0,7158
0,7295
0,4318
0,10339
0,9598
0,10242
0,700
0,9778
0,4333
0,1623
0,9309
0,2816
0,4129
0,7840
0,4757
0,2663
0,5435
0,5526
0,9084
0,153
0,10646
0,1143
0,8934
0,9823
0,6905
0,610
0,8425
0,965
0,2149
0,2846
0,8491
0,10546
0,5356
0,6868
0,9459
0,8976
0,5282
0,10216
0,7429
