postreq,prereq,relationship,constrain
interAlgebra,math10,or,c-
interAlgebra,problemSolving,or,c-
collegeAlgebra,interAlgebra,single,c-
fundEng,interAlgebra,or,c-
precalc,interAlgebra,or,b-
database,C,or,
trig,collegeAlgebra,single,c-
fundEng,collegeAlgebra,or,c-
precalc,collegeAlgebra,or,c-
calc1,trig,or,c-
calc1,precalc,or,c-
discrete,calc1,or,c-
circuitModeling,calc1,or,c-
calc2,calc1,or,c-
physics1,calc1,or,c-
compGraphics,calc1,and,c-
calc3,calc2,single,c-
physics2,calc2,and,c-
statistics,calc2,single,c-
humanFactors,calc2,and,c-
softProject1,discrete,and,c-
ai,discrete,and,c-
operations,statistics,single,
qualityEng,statistics,or,c-
physics1,fundEng,or,c-
physics2,physics1,and,c-
progCPP,introProg,single,
oops1,progCPP,single,c-
introMicro,progCPP,and,c-
oops2,oops1,single,c-
introCompSec,oops1,single,c-
dataComm,oops1,single,c-
caos,oops1,single,c-
introSoftEng,oops1,single,c-
database,oops1,and,c-
ooad,oops1,and,c-
softQuality,oops2,single,c-
interSoftEng,oops2,and,c-
progLangStructs,oops2,single,c-
realTimeEmbedSys,oops2,or,c-
softMaint,oops2,and,c-
ai,oops2,and,c-
compGraphics,oops2,and,c-
realTimeEmbedSys,B,and,
A,caos,or,c-
softProject2,softQuality,and,c-
softMaint,introSoftEng,and,c-
interSoftEng,introSoftEng,and,c-
ooad,introSoftEng,and,c-
softProject1,interSoftEng,and,c-
softProject2,softProject1,and,c-
softMaint,ooad,and,c-
softProject1,ooad,and,c-
logic,circuitModeling,or,c-
introMicro,logic,and,c-
A,electricalProjects,or,c-
logic,A,or,
productManagement,engManagement,single,
humanFactors,anatomy,and,
B,caos,or,
B,introMicro,or,
C,oops1,or,
C,discrete,or,
