first term gpa,first term standing,graduated
0,3,0
0.913043478,3,0
0.958333333,3,0
3.170588235,4,1
2.3125,4,1
2.358490566,3,0
2.372,3,0
0.915625,3,0
0,3,0
2.946666667,4,1
2.417741935,3,0
1.603174603,3,0
1.278571429,2,1
1.374,3,0
1.75,4,1
2.066666667,4,1
2.773333333,4,1
2.742857143,4,1
2.153846154,4,1
1.686567164,3,0
1.655172414,3,0
1.205128205,3,0
3.071428571,4,1
1.110526316,3,0
2.899,3,0
1.797368421,3,0
1.516666667,3,0
0.6,3,0
3.043956044,3,0
1.7625,3,0
3.361111111,4,1
3.38,4,1
1.208,3,0
1.47,3,0
2.51875,3,0
1.285714286,2,1
2.4,4,1
2.005084746,3,0
3.182352941,4,1
1.04,3,0
1,3,0
1.713793103,3,0
1.522727273,3,0
2.368421053,3,0
1.827586207,3,0
3.333333333,4,1
2.553333333,4,1
2.602150538,3,0
1.225925926,3,0
1.035,3,0
1.963333333,3,0
1.781914894,3,0
1.444827586,3,0
3.042857143,4,1
2.125,4,1
1.909090909,3,0
1.754054054,3,0
2.140625,3,0
2.786666667,4,1
1.274509804,3,0
2.7625,4,1
3.6,4,1
2.8,3,0
1.747169811,3,0
1.905660377,3,0
1.382608696,3,0
4,4,1
3,4,1
0.3,3,0
1.15,3,0
0,3,0
3.3,4,1
2.928571429,4,1
1.405405405,3,0
2.066666667,4,1
0.5,3,0
1.955932203,3,0
1.157894737,2,1
1.34,3,0
1.861111111,3,0
1.756666667,3,0
1.225531915,3,0
2.36875,3,0
2.642857143,4,1
0.571428571,3,0
3.066666667,4,1
2.24,3,0
3.413333333,4,1
0,3,0
0.31875,3,0
2.5,4,1
3.111111111,4,1
2.726666667,4,1
0.428571429,3,0
0.25,3,0
0.857142857,3,0
1.663235294,3,0
1.365853659,3,0
3.133333333,4,1
3.4375,4,1
1.5,3,0
0.466666667,3,0
3.44375,4,1
4,4,1
2.666666667,3,0
1.25,3,0
3.5,4,1
4,4,1
0,3,0
2.133333333,4,1
2.1375,4,1
3.214285714,4,1
1.084615385,3,0
2.00625,4,1
2.5,4,1
2.1875,4,1
1.04,3,0
2.1875,4,1
3.75,4,1
1.756756757,3,0
1.798387097,3,0
2.944444444,4,1
3.453846154,4,1
1.818604651,3,0
1.836697248,3,0
1.145,3,0
2.79,4,1
2.091891892,3,0
2.846875,3,0
3.419626168,3,0
1.625,3,0
1.666666667,3,0
0.285714286,3,0
2.063120567,3,0
1.133333333,2,1
1.538461538,4,1
2.133333333,4,1
2.098305085,3,0
3.535294118,4,1
1.785714286,3,0
2.253846154,4,1
3.8,4,1
1.87654321,3,0
1.861538462,3,0
2.085714286,3,0
3.553846154,4,1
0.6,3,0
1.553333333,3,0
2.003603604,3,0
2.375,4,1
3.4625,4,1
1.003846154,3,0
0,3,0
2.985714286,4,1
1.836029412,3,0
0,3,0
2.866666667,4,1
1.373831776,3,0
1.588721805,3,0
2.846153846,4,1
1.257142857,3,0
0.31875,3,0
3.714285714,4,1
3.78,4,1
1.725,3,0
1.798333333,3,0
1.527777778,3,0
3.176923077,4,1
3.311764706,4,1
1.671428571,3,0
0.387096774,3,0
0.230769231,3,0
0.942857143,3,0
3.8,4,1
1.363636364,3,0
0,3,0
1.715686275,3,0
3.513333333,4,1
1.719565217,3,0
2.063291139,3,0
3.13125,4,1
2.235483871,3,0
2.5125,4,1
2.648958333,3,0
3.5375,4,1
3.777777778,4,1
1.952777778,3,0
0.476470588,3,0
0.491666667,3,0
0.1875,3,0
0.906666667,3,0
3.4375,4,1
4,4,1
1.619642857,3,0
1.275,3,0
3,4,1
3.218947368,3,0
2.25,4,1
0,3,0
1.748484848,3,0
3.352941176,4,1
1.52173913,3,0
1.8125,4,1
