id,first term gpa,first term standing,second term gpa,second term standing,third term gpa,third term standing,graduated
6332,1.278571429,3,3.092307692,1,1.7875,1,1
6368,1.75,1,1.5,3,2.766666667,1,1
6379,2.066666667,1,1.428571429,3,1.278571429,3,1
6388,2.773333333,1,2.947058824,1,2.25625,1,1
6417,2.742857143,1,3.216666667,1,2.133333333,1,1
6449,2.153846154,1,3,1,2.714285714,1,1
6464,3.071428571,1,2.842105263,1,3.12,1,1
6577,3.361111111,1,3.423529412,1,3.635294118,1,1
6597,3.38,1,3.715384615,1,3.0125,1,1
6730,1.285714286,3,2.642857143,1,1.153846154,1,1
6750,2.4,1,2.214285714,1,2.957142857,1,1
6764,3.182352941,1,3.7375,1,3.505882353,1,1
6823,3.333333333,1,3.066666667,1,3.475,1,1
6844,2.553333333,1,2.5,1,3.33125,1,1
6922,3.06,2,0.866666667,2,2.8,2,0
6977,3.042857143,1,2.864285714,1,3.4,1,1
7005,2.125,1,1.076923077,3,1.9,1,1
7132,2.786666667,1,1.905882353,1,2.48,1,1
7141,2.7625,1,1.98125,1,1.76,1,1
7158,3.6,1,2.647058824,1,1.818181818,1,1
7244,4,1,3.92,1,3.813333333,1,1
7270,3,1,3.5,1,3.1375,1,1
7357,3.3,1,3.5125,1,3.635714286,1,1
7364,2.928571429,1,3.023529412,1,1.93125,1,1
7389,2.066666667,1,1.416666667,1,1.846153846,1,1
7441,1.157894737,3,2.954545455,1,2.5,1,1
7563,2.642857143,1,3.4,1,3.14,1,1
7585,3.066666667,1,2.6875,1,2.076923077,1,1
7651,3.413333333,1,2.9875,1,3.45625,1,1
7699,3.111111111,1,3.8,1,3.125,1,1
7721,2.726666667,1,2.782352941,1,2.707692308,1,1
7798,3.133333333,1,2.866666667,1,3,1,1
7801,3.4375,1,3.266666667,1,3.333333333,1,1
7841,3.44375,1,2.8,1,2.392307692,1,1
7845,4,1,3.929411765,1,4,1,1
7883,3.5,1,3.6875,1,3.11,1,1
7923,4,1,3.94375,1,3.947058824,1,1
7948,2.133333333,1,2.6,1,1.52,1,1
7951,2.1375,1,1.746153846,1,2.425,1,1
7958,3.214285714,1,3.230769231,1,3.06,1,1
7970,2.00625,1,3.225,1,0.933333333,2,1
7987,2.5,1,2.533333333,1,2.033333333,1,1
8014,2.1875,1,1.866666667,1,1.791666667,1,1
8086,2.1875,1,2.206666667,1,2.682352941,1,1
8167,2.944444444,1,2.058823529,1,1.084615385,1,1
8177,3.453846154,1,3.54375,1,3.05625,1,1
8231,2.79,1,3.175,1,1.8,1,1
8308,1.133333333,3,2.235294118,1,1.833333333,1,1
8334,2.133333333,1,2.692307692,1,1.571428571,1,1
8359,3.535294118,1,3.733333333,1,3.34375,1,1
8420,2.253846154,1,3.553846154,1,3.8,1,1
8442,3.8,1,3.3125,1,3.06875,1,1
8485,2.636363636,2,4,2,2.333333333,2,0
8513,3.553846154,1,3.70625,1,3.464285714,1,1
8519,0.6,2,2,2,1.6,2,0
8553,3.4625,1,1.766666667,1,3.3,1,1
8661,2.866666667,1,3.1875,1,2.425,1,1
8700,2.846153846,1,2,1,2.5,1,1
8771,3.714285714,1,3.7,1,3,1,1
8825,3.176923077,1,3.453333333,1,2.673333333,1,1
8884,0.75,2,0.8,2,1,2,0
8964,3.8,1,3,1,2.384615385,1,1
9008,3.513333333,1,3.2375,1,3.28,1,1
9039,2.16875,2,2.1,2,0.86,2,0
9043,3.13125,1,2.93125,1,3.4,1,1
9057,2.5125,1,3.05625,1,3.721428571,1,1
9076,3.5375,1,2.8875,1,2.364285714,1,1
9097,3.777777778,1,3.727777778,1,3.85,1,1
9165,3.4375,1,3.625,1,3.522222222,1,1
9170,4,1,3.8,1,4,1,1
9276,3,1,2.884615385,1,3.416666667,1,1
9304,2.25,1,2.571428571,1,2.626666667,1,1
9330,3.352941176,1,3.125,1,2.823529412,1,1
9352,1.8125,1,2.071428571,1,3,1,1
9358,3.25,1,2.5625,1,2.083333333,1,1
9365,3.594117647,1,3.206666667,1,3.4,1,1
9370,4,1,4,1,4,1,1
9378,3.3625,1,3.6,1,3.35,1,1
9405,3.50625,1,2.435714286,1,3.09375,1,1
9475,2.186666667,1,2.425,1,2.564285714,1,1
9532,3.4375,1,2.25,1,2.092307692,1,1
9548,3.373333333,1,2.26,1,1.42,1,1
9764,3.533333333,1,3.106666667,1,3.35625,1,1
9789,3.266666667,1,2.466666667,1,1.6,1,1
9866,3.7125,1,2.7,1,3.2625,1,1
9959,3.428571429,1,3.0625,1,2.084615385,1,1
10031,2.91875,1,2.894117647,1,2.3,1,1
10105,2.125,1,2.928571429,1,1.833333333,1,1
10174,2.91875,1,3.466666667,1,2.113333333,1,1
10364,2.95,1,2.81875,1,2.930769231,1,1
10401,3.007692308,1,2.576470588,1,1.3,1,1
10402,3.18,1,2.758823529,1,2.007692308,1,1
10436,4,1,3.92,1,3.61875,1,1
10569,2,1,2.066666667,1,1.226666667,2,1
10584,2.9,1,2.392857143,1,2.618181818,1,1
10641,4,1,4,1,4,1,1
10649,3.076923077,1,2.2,1,3.2,1,1
