student_id,term_number,course_name,grade
2552,740,Precalculus,C
7638,740,Precalculus,B
9878,740,Precalculus,B
5365,740,Precalculus,C
6325,740,Precalculus,C
8978,740,Precalculus,F
8806,740,Precalculus,F
9509,740,Precalculus,F
4717,740,Precalculus,C
542,740,Precalculus,C
5262,740,Precalculus,C
3823,740,Trigonometry and Analytic Geometry,C
5341,740,Trigonometry and Analytic Geometry,A
8724,740,Trigonometry and Analytic Geometry,C
6454,740,Trigonometry and Analytic Geometry,B
1305,740,Trigonometry and Analytic Geometry,B
5969,740,Trigonometry and Analytic Geometry,D
5405,740,Trigonometry and Analytic Geometry,C
6369,740,Trigonometry and Analytic Geometry,D
7849,740,Trigonometry and Analytic Geometry,A
7449,740,Trigonometry and Analytic Geometry,B
2781,740,Trigonometry and Analytic Geometry,D
7677,740,Calculus and Analytic Geometry I,A
1921,740,Calculus and Analytic Geometry I,F
5822,740,Calculus and Analytic Geometry I,C
4990,740,Calculus and Analytic Geometry I,D
556,740,Calculus and Analytic Geometry I,B
2782,740,Calculus and Analytic Geometry I,F
1603,740,Calculus and Analytic Geometry I,D
10518,740,Calculus and Analytic Geometry I,F
6727,740,Calculus and Analytic Geometry I,C
2754,740,Calculus and Analytic Geometry I,F
816,740,Calculus and Analytic Geometry I,F
2450,740,Calculus and Analytic Geometry I,C
2257,740,Calculus and Analytic Geometry I,C
6235,740,Calculus and Analytic Geometry I,F
7391,740,Calculus and Analytic Geometry I,D
8222,740,Calculus and Analytic Geometry I,C
8434,740,Calculus and Analytic Geometry I,A
8058,740,Calculus and Analytic Geometry I,C
7469,740,Calculus and Analytic Geometry I,C
1559,740,Calculus and Analytic Geometry I,A
7568,740,Calculus and Analytic Geometry I,F
3718,740,Calculus and Analytic Geometry I,D
9964,740,Calculus and Analytic Geometry I,F
375,740,Discrete Mathematics,F
891,740,Discrete Mathematics,B
5947,740,Discrete Mathematics,C
8222,740,Discrete Mathematics,C
4001,740,Discrete Mathematics,B
5163,740,Discrete Mathematics,B
3576,740,Discrete Mathematics,B
4182,740,Discrete Mathematics,F
1489,740,Discrete Mathematics,F
10577,740,Discrete Mathematics,A
922,740,Discrete Mathematics,A
9540,740,Discrete Mathematics,A
1213,740,Discrete Mathematics,B
5851,740,Discrete Mathematics,B
10577,740,Calculus and Analytic Geometry II,B
8318,740,Calculus and Analytic Geometry II,F
2614,740,Calculus and Analytic Geometry II,F
1213,740,Calculus and Analytic Geometry II,B
5170,740,Calculus and Analytic Geometry II,A
5447,740,Calculus and Analytic Geometry II,C
1358,740,Calculus and Analytic Geometry II,C
8685,740,Calculus and Analytic Geometry II,C
9843,740,Calculus and Analytic Geometry II,F
5947,740,Calculus and Analytic Geometry II,C
9535,740,Calculus and Analytic Geometry II,C
3044,740,Calculus and Analytic Geometry II,B
10132,740,Calculus and Analytic Geometry II,C
1762,740,Calculus and Analytic Geometry II,C
1445,740,Calculus and Analytic Geometry II,B
1884,740,Calculus and Analytic Geometry II,A
8822,740,Calculus and Analytic Geometry II,C
849,740,Calculus and Analytic Geometry II,D
4498,740,Calculus and Analytic Geometry II,C
5780,740,Calculus and Analytic Geometry II,C
2433,740,Calculus and Analytic Geometry II,C
6239,740,Calculus and Analytic Geometry II,C
864,740,Fitness Assessment and Management,A
4930,740,Calculus and Analytic Geometry II,B
9990,740,Calculus and Analytic Geometry III,F
1079,740,Calculus and Analytic Geometry III,B
5163,740,Calculus and Analytic Geometry III,B
375,740,Calculus and Analytic Geometry III,F
6301,740,Calculus and Analytic Geometry III,F
1500,740,Linear Algebra,D
5953,740,Differential Equations I,F
1500,740,Thermodynamics,D
9042,740,General Physics I Lab,B
3044,740,General Physics I Lab,C
849,740,General Physics I Lab,C
9540,740,General Physics I Lab,B
2425,740,General Physics I Lab,B
3044,740,General Physics I,C
9540,740,General Physics I,C
849,740,General Physics I,D
9042,740,General Physics I,B
2425,740,General Physics I,B
5953,740,General Physics II Laboratory,B
1500,740,General Physics II Laboratory,B
1500,740,General Physics II,C
5953,740,General Physics II,D
1358,740,Object-Oriented Programming and Data Structures I,F
